title,date,venue,description,category,categories,url
Theatre,Date TBA,Venue TBA,No description available,theatre,theatre,"https://www.whatsonglasgow.co.uk/event/033372-a-play,-a-pie-and-a-pint-autumn-season/"
"A Play, A Pie and A Pint Autumn Season",1st September 2025 - 22nd November 2025,"Oran Mor, Glasgow West End","With wonderful musicals, hilarious comedies and thrilling dramas, there is plenty of great treats to tuck into this Autumn at A Play, A Pie and A Pint!",theatre,theatre,"https://www.whatsonglasgow.co.uk/event/033372-a-play,-a-pie-and-a-pint-autumn-season/"
Music,Date TBA,Venue TBA,No description available,music,music|nights-out,https://www.whatsonglasgow.co.uk/event/114700-a-tribute-to-freddie-mercury/
A Tribute To Freddie Mercury,5th July 2025 - 25th October 2025,"The Ferry, Glasgow City Centre","Jim Smart's tribute to Freddie Mercury is one of the most energetic and fun tribute shows available in Scotland today, don't miss it at The Ferry!",music,music|nights-out,https://www.whatsonglasgow.co.uk/event/114700-a-tribute-to-freddie-mercury/
Tour,Date TBA,Venue TBA,No description available,food-and-drink,food-and-drink|outdoor|tour,https://www.whatsonglasgow.co.uk/event/101444-a-wee-walk-&-a-whisky-(or-three!)/
A Wee Walk & A Whisky (or three!),11th January 2025 - 21st December 2025,"Glasgow City Chambers, Glasgow City Centre","Enjoy a wee walk and a premium whisky tasting in a local pub with a fun, local guide and see a new side to the city on your trip with this small group tour with Walking Tours in Glasgow!",food-and-drink,food-and-drink|outdoor|tour,https://www.whatsonglasgow.co.uk/event/101444-a-wee-walk-&-a-whisky-(or-three!)/
Halloween,Date TBA,Venue TBA,No description available,nights-out,nights-out,https://www.whatsonglasgow.co.uk/event/126612-adult-halloween-event:-spirits-of-the-tea-rooms/
Adult Halloween Event: Spirits of the Tea Rooms,25th October 2025,"Mackintosh at the Willow, Glasgow City Centre","Come along for an evening of mysticism, fortune-telling, mindreading, and historical intrigue at Mackintosh at the Willow's Halloween event, Spirits of the Tea Rooms!",nights-out,nights-out,https://www.whatsonglasgow.co.uk/event/126612-adult-halloween-event:-spirits-of-the-tea-rooms/
Exhibitions,Date TBA,Venue TBA,No description available,exhibitions,exhibitions,https://www.whatsonglasgow.co.uk/event/161482-alasdair-gray:-works-from-the-morag-mcalpine-bequest/
Alasdair Gray: Works from the Morag McAlpine Bequest,5th June 2025 - 5th June 2026,"Kelvingrove Art Gallery and Museum, Glasgow West End",A display of nine of Alasdair Gray's works from The Morag McAlpine Bequest is open now in the Fragile Art Gallery in Kelvingrove Art Gallery and Museum.,exhibitions,exhibitions,https://www.whatsonglasgow.co.uk/event/161482-alasdair-gray:-works-from-the-morag-mcalpine-bequest/
Gaming,Date TBA,Venue TBA,No description available,family-and-kids,family-and-kids|gaming,https://www.whatsonglasgow.co.uk/event/097176-all-ages-retro-game-sessions/
All Ages Retro Game Sessions,23rd October 2025 - 28th December 2025,"R CADE, Glasgow City Centre",Get your game on at Glasgow's only family friendly retro gaming venue by booking one of their Retro Gaming Sessions!,family-and-kids,family-and-kids|gaming,https://www.whatsonglasgow.co.uk/event/097176-all-ages-retro-game-sessions/
Music,Date TBA,Venue TBA,No description available,family-and-kids,family-and-kids|music,https://www.whatsonglasgow.co.uk/event/163345-amplify-music-academy-access-all-areas/
Amplify Music Academy Access All Areas,25th October 2025,"Amplify Academy of Music, Glasgow South Side","Let your child step right into the heart of Amplify Music Academy - and try their hand at drums, guitar, piano, music tech and much more!",family-and-kids,family-and-kids|music,https://www.whatsonglasgow.co.uk/event/163345-amplify-music-academy-access-all-areas/
Theatre,Date TBA,Venue TBA,No description available,nights-out,nights-out|theatre,https://www.whatsonglasgow.co.uk/event/158898-arlington/
Arlington,22nd October 2025 - 25th October 2025,"Tron Theatre, Glasgow City Centre","Arlington by Enda Walsh is a dark fable of surveillance, connection, and the power of imagination. Don't miss it at the Tron Theatre between the 22nd and 25th October!",nights-out,nights-out|theatre,https://www.whatsonglasgow.co.uk/event/158898-arlington/
Gaming,Date TBA,Venue TBA,No description available,gaming,gaming|nights-out,https://www.whatsonglasgow.co.uk/event/161466-atmosfear-boardgame-night/
Atmosfear Boardgame Night,25th October 2025,"R CADE, Glasgow City Centre",Join R-CADE for an evening of pure nostalgia this spooky season as they host their Atmosfear Boardgame Night on Saturday 25th October!,gaming,gaming|nights-out,https://www.whatsonglasgow.co.uk/event/161466-atmosfear-boardgame-night/
Shopping,Date TBA,Venue TBA,No description available,days-out,days-out|family-and-kids|shopping,https://www.whatsonglasgow.co.uk/event/154957-balloch-indoor-&-outdoor-market/
Balloch Indoor & Outdoor Market,31st May 2025 - 29th November 2025,"Saint Kessogs Church Balloch, Balloch",Find everything from second-hand clothes to vintage treasures and unique collectibles at the monthly Balloch Indoor & Outdoor Market!,days-out,days-out|family-and-kids|shopping,https://www.whatsonglasgow.co.uk/event/154957-balloch-indoor-&-outdoor-market/
Workshops,Date TBA,Venue TBA,No description available,arts-and-crafts,arts-and-crafts|workshops,https://www.whatsonglasgow.co.uk/event/163000-beginners-hand-building-tea-light-holder-workshop/
Beginners Hand Building Tea-Light Holder Workshop,25th October 2025 - 22nd November 2025,"Rogart Street Campus, Glasgow East End",Learn how to make hand built ceramic tea-light holders with Studio Yōki on this workshop at Rogart Street Campus!,arts-and-crafts,arts-and-crafts|workshops,https://www.whatsonglasgow.co.uk/event/163000-beginners-hand-building-tea-light-holder-workshop/
Nights Out,Date TBA,Venue TBA,No description available,nights-out,nights-out,https://www.whatsonglasgow.co.uk/event/039708-bongo’s-bingo-glasgow/
Bongo’s Bingo Glasgow,22nd August 2025 - 14th November 2025,"SWG3 Glasgow, Glasgow West End",Bongo's Bingo takes on Scotland and SWG3 Glasgow! Join us at our infamous bingo show for a unique twist on the traditional past time!,nights-out,nights-out,https://www.whatsonglasgow.co.uk/event/039708-bongo’s-bingo-glasgow/
Halloween,Date TBA,Venue TBA,No description available,nights-out,nights-out,https://www.whatsonglasgow.co.uk/event/162811-bongo’s-bingo-glasgow:-the-carnevil/
Bongo’s Bingo Glasgow: The Carnevil,24th October 2025 - 25th October 2025,"SWG3 Glasgow, Glasgow West End","Roll up, roll up... if you dare! This October, Bongo's Bingo is transforming into a twisted circus of chaos, confetti, and carnage. Welcome to The Carnevil!",nights-out,nights-out,https://www.whatsonglasgow.co.uk/event/162811-bongo’s-bingo-glasgow:-the-carnevil/
Books,Date TBA,Venue TBA,No description available,general,general,https://www.whatsonglasgow.co.uk/event/142136-bookface-sip-&-swap-with-dr-gillian-shirreffs-for-beatson-cancer-charity/
Bookface Sip & Swap with Dr Gillian Shirreffs for Beatson Cancer Charity,25th October 2025,"Saints Of Ingram, Glasgow City Centre",Enjoy a bookish afternoon Sip & Swap with a luxury raffle and chatting with Dr. Gillian Shirreffs in support of the Beatson Cancer Charity.,general,general,https://www.whatsonglasgow.co.uk/event/142136-bookface-sip-&-swap-with-dr-gillian-shirreffs-for-beatson-cancer-charity/
Nights Out,Date TBA,Venue TBA,No description available,music,music|nights-out,https://www.whatsonglasgow.co.uk/event/132035-boozébingo/
BOOZéBINGO,25th October 2025,"Platform, Glasgow City Centre","Stevie Lennon, the king of bad shirts and glitter jackets is bouncing back down to Platform with Michael Smith on Saturday 25th October for the return of the mighty BOOZÉBINGO!",music,music|nights-out,https://www.whatsonglasgow.co.uk/event/132035-boozébingo/
Family and Kids,Date TBA,Venue TBA,No description available,family-and-kids,family-and-kids,https://www.whatsonglasgow.co.uk/event/111070-bounce-&-rhyme-sessions/
Bounce & Rhyme Sessions,3rd May 2025 - 13th December 2025,"The Language Hub, Glasgow West End",The Language Hub's Bounce & Rhyme French and German sessions introduce the youngest members of the family to a second language in the earliest stages of their development!,family-and-kids,family-and-kids,https://www.whatsonglasgow.co.uk/event/111070-bounce-&-rhyme-sessions/
Exhibitions,Date TBA,Venue TBA,No description available,exhibitions,exhibitions|health-and-wellbeing,https://www.whatsonglasgow.co.uk/event/163124-brave-spaces/
Brave Spaces,10th October 2025 - 8th November 2025,"Trongate 103, Glasgow City Centre","An exhibition of original screenprints created by participants working with Bazooka Arts and Glasgow Print Studio, in response to the theme Brave Spaces.",exhibitions,exhibitions|health-and-wellbeing,https://www.whatsonglasgow.co.uk/event/163124-brave-spaces/
Family and Kids,Date TBA,Venue TBA,No description available,days-out,days-out|family-and-kids,https://www.whatsonglasgow.co.uk/event/161416-bricks-by-the-clyde/
Bricks By The Clyde,25th October 2025 - 26th October 2025,"Riverside Museum, Glasgow West End","Thin Blue Bricks are back with brand new show, Bricks By The Clyde at Riverside Museum, featuring amazing Lego displays built by some of the best fan builders in Scotland!",days-out,days-out|family-and-kids,https://www.whatsonglasgow.co.uk/event/161416-bricks-by-the-clyde/
Music,Date TBA,Venue TBA,No description available,music,music|nights-out,https://www.whatsonglasgow.co.uk/event/160771-candlelight:-the-wizard-of-oz---a-classical-concert/
Candlelight: The Wizard of Oz - A Classical Concert,18th October 2025 - 19th December 2025,"The Merchants House of Glasgow, Glasgow City Centre","Candlelight: The Wizard of Oz – A Classical Concert, a one-of-a-kind musical experience, is coming to the Merchants House of Glasgow!",music,music|nights-out,https://www.whatsonglasgow.co.uk/event/160771-candlelight:-the-wizard-of-oz---a-classical-concert/
Music,Date TBA,Venue TBA,No description available,music,music|nights-out,https://www.whatsonglasgow.co.uk/event/127152-candlelight:-tribute-to-leonard-cohen/
Candlelight: Tribute to Leonard Cohen,25th October 2025,"The Merchants House of Glasgow, Glasgow City Centre","Discover the music of Leonard Cohen, under the gentle glow of candlelight, at this live, multi-sensory musical experience in the Merchants House of Glasgow!",music,music|nights-out,https://www.whatsonglasgow.co.uk/event/127152-candlelight:-tribute-to-leonard-cohen/
Exhibitions,Date TBA,Venue TBA,No description available,exhibitions,exhibitions|family-and-kids|history,https://www.whatsonglasgow.co.uk/event/156560-capturing-the-moment:-glasgow-then-and-now/
Capturing the Moment: Glasgow Then and Now,13th June 2025 - 21st December 2025,Venue TBA,"To celebrate Glasgow's 850th anniversary, students from Shawlands Academy have teamed up with Glasgow Life Museums to celebrate by curating this touring exhibition!",exhibitions,exhibitions|family-and-kids|history,https://www.whatsonglasgow.co.uk/event/156560-capturing-the-moment:-glasgow-then-and-now/
Tour,Date TBA,Venue TBA,No description available,family-and-kids,family-and-kids|history|outdoor,https://www.whatsonglasgow.co.uk/event/135455-carmunnock-heritage-trail/
Carmunnock Heritage Trail,1st January 2025 - 31st December 2025,"Carmunnock Parish Church, Glasgow South Side","Take a unique, free, self-guided, multi-media tour around Glasgow's last village - Carmunnock by following the Carmunnock Heritage Trail!",family-and-kids,family-and-kids|history|outdoor,https://www.whatsonglasgow.co.uk/event/135455-carmunnock-heritage-trail/
Exhibitions,Date TBA,Venue TBA,No description available,exhibitions,exhibitions,"https://www.whatsonglasgow.co.uk/event/162559-carol-dewart-rsw-pai-rgi,-jennifer-irvine-rsw-rgi,-paul-murray-rsw-pai-rgi-&-jacqueline-orr-rsw-rgi-pai/"
"Carol Dewart RSW PAI RGI, Jennifer Irvine RSW RGI, Paul Murray RSW PAI RGI & Jacqueline Orr RSW RGI PAI",4th October 2025 - 26th October 2025,"Annan Gallery, Glasgow West End","Annan Gallery are delighted to present an exhibition showcasing the work of four celebrated Scottish artists: Carol Dewart, Jennifer Irvine, Paul Murray and Jacqueline Orr.",exhibitions,exhibitions,"https://www.whatsonglasgow.co.uk/event/162559-carol-dewart-rsw-pai-rgi,-jennifer-irvine-rsw-rgi,-paul-murray-rsw-pai-rgi-&-jacqueline-orr-rsw-rgi-pai/"
Comedy,Date TBA,Venue TBA,No description available,comedy,comedy,https://www.whatsonglasgow.co.uk/event/151580-casey-rocket/
Casey Rocket,25th October 2025,"The Stand Comedy Club Glasgow, Glasgow West End","In 2024, comedian Casey Rocket began on first solo headline tour, performing to sold out crowds in the US and Canada. He's heading to the UK where you can catch him at The Stand Glasgow in October!",comedy,comedy,https://www.whatsonglasgow.co.uk/event/151580-casey-rocket/
Halloween,Date TBA,Venue TBA,No description available,community,community|family-and-kids|outdoor,https://www.whatsonglasgow.co.uk/event/023829-castlemilk-park-pumpkin-festival/
Castlemilk Park Pumpkin Festival,25th October 2025 - 29th October 2025,"Castlemilk Park, Glasgow South Side","Castlemilk Park will be holding their annual Pumpkin Festival between Saturday 25th and Wednesday 29th October featuring pumpkin carving, illumination of the stables and the Spooky Walk!",community,community|family-and-kids|outdoor,https://www.whatsonglasgow.co.uk/event/023829-castlemilk-park-pumpkin-festival/
Exhibitions,Date TBA,Venue TBA,No description available,days-out,days-out|exhibitions|family-and-kids,https://www.whatsonglasgow.co.uk/event/010501-cathcart-model-railway-exhibition/
Cathcart Model Railway Exhibition,25th October 2025 - 26th October 2025,"Pollokshaws Burgh Hall, Glasgow South Side",The annual Cathcart Model Railway Exhibition returns to Pollokshaws Burgh Hall on Saturday 25th and Sunday 26th October!,days-out,days-out|exhibitions|family-and-kids,https://www.whatsonglasgow.co.uk/event/010501-cathcart-model-railway-exhibition/
Halloween,Date TBA,Venue TBA,No description available,arts-and-crafts,arts-and-crafts|family-and-kids|nature,https://www.whatsonglasgow.co.uk/event/163346-celebrating-the-spooky-season-at-seven-lochs/
Celebrating the Spooky Season at Seven Lochs,25th October 2025,"Seven Lochs Wetland Park, Glasgow North","Join Seven Lochs on Saturday 25th October to get ready for All Hallows' Eve when the veil between this world and the otherworld grows thin, and spirits roam!",arts-and-crafts,arts-and-crafts|family-and-kids|nature,https://www.whatsonglasgow.co.uk/event/163346-celebrating-the-spooky-season-at-seven-lochs/
Tour,Date TBA,Venue TBA,No description available,family-and-kids,family-and-kids|history|outdoor,https://www.whatsonglasgow.co.uk/event/094380-charles-rennie-mackintosh-walking-tour/
Charles Rennie Mackintosh Walking Tour,10th May 2025 - 25th October 2025,"The Clutha Bar, Glasgow City Centre",Join Walking Tours in Glasgow to explore the streets of Mackintosh's home city to experience and witness his lasting legacy!,family-and-kids,family-and-kids|history|outdoor,https://www.whatsonglasgow.co.uk/event/094380-charles-rennie-mackintosh-walking-tour/
Music,Date TBA,Venue TBA,No description available,family-and-kids,family-and-kids|music,https://www.whatsonglasgow.co.uk/event/153580-children’s-classic-concerts:-fright-at-the-museum/
Children’s Classic Concerts: Fright at the Museum,25th October 2025,"The Glasgow Royal Concert Hall, Glasgow City Centre","Join Children's Classic Concerts, the RSNO and the RSNO Children's Chorus for this perfectly curated creepy concert at Glasgow Royal Concert Hall!",family-and-kids,family-and-kids|music,https://www.whatsonglasgow.co.uk/event/153580-children’s-classic-concerts:-fright-at-the-museum/
Exhibitions,Date TBA,Venue TBA,No description available,exhibitions,exhibitions,https://www.whatsonglasgow.co.uk/event/151826-ciara-phillips---undoing-it/
Ciara Phillips - Undoing it,22nd March 2025 - 26th October 2025,"Gallery of Modern Art, Glasgow City Centre","Undoing It at the Gallery of Modern Art is a new solo exhibition by Canadian/Irish artist Ciara Phillips, of woodcuts, etchings and screen-prints.",exhibitions,exhibitions,https://www.whatsonglasgow.co.uk/event/151826-ciara-phillips---undoing-it/
Comedy,Date TBA,Venue TBA,No description available,comedy,comedy|food-and-drink,https://www.whatsonglasgow.co.uk/event/145788-comedy-drag-bingo/
Comedy Drag Bingo,23rd August 2025 - 27th December 2025,"Arta, Glasgow City Centre",Barbra LaBush is normally a night owl but this time she wants to start the party early with some fabulous Drag Bingo on a Saturday afternoon at Arta!,comedy,comedy|food-and-drink,https://www.whatsonglasgow.co.uk/event/145788-comedy-drag-bingo/
Community,Date TBA,Venue TBA,No description available,community,community|family-and-kids,https://www.whatsonglasgow.co.uk/event/161447-community-circles/
Community Circles,25th October 2025,Venue TBA,"Join the Unity for Integration Project for Community Circles, a joyful and empowering 6-week programme designed for migrant, refugee, and low-income families living in Glasgow!",community,community|family-and-kids,https://www.whatsonglasgow.co.uk/event/161447-community-circles/
Music,Date TBA,Venue TBA,No description available,music,music|nights-out,https://www.whatsonglasgow.co.uk/event/147608-country-club---country-music-festival/
Country Club - Country Music Festival,25th October 2025,"SWG3 Glasgow, Glasgow West End",Saddle up cowboys & cowgirls! The UKs country music day party is riding back into Glasgow for the ultimate hoedown at SWG3 Glasgow on Saturday 25th October!,music,music|nights-out,https://www.whatsonglasgow.co.uk/event/147608-country-club---country-music-festival/
Dance,Date TBA,Venue TBA,No description available,general,general,https://www.whatsonglasgow.co.uk/event/148727-cowboy-stripshow/
Cowboy Stripshow,25th January 2025 - 28th March 2026,"Maggies Rock n Rodeo, Glasgow City Centre",Saddle up for the cheekiest cabaret in town as Maggie's Rock 'N' Rodeo presents the Cowboy Stripshow!,general,general,https://www.whatsonglasgow.co.uk/event/148727-cowboy-stripshow/
Exhibitions,Date TBA,Venue TBA,No description available,exhibitions,exhibitions,https://www.whatsonglasgow.co.uk/event/164033-creative-citizens/
Creative Citizens,22nd October 2025 - 1st June 2026,"Kelvingrove Art Gallery and Museum, Glasgow West End","Curated by artist Rachel Mimiec, this display in Kelvingrove's Community Gallery features props, costumes, and photography from all Creative Citizens productions!",exhibitions,exhibitions,https://www.whatsonglasgow.co.uk/event/164033-creative-citizens/
Tour,Date TBA,Venue TBA,No description available,active,active|family-and-kids|history,https://www.whatsonglasgow.co.uk/event/029428-curious-about-glasgow---quirky-heritage-walks-for-the-curious!/
Curious About Glasgow - Quirky Heritage Walks for the Curious!,1st January 2024 - 31st December 2025,"Glasgow Central Station, Glasgow City Centre","Have fun discovering Glasgow on this award-winning, quirky, self-guided, heritage walk with a treasure hunt theme from Curious About!",active,active|family-and-kids|history,https://www.whatsonglasgow.co.uk/event/029428-curious-about-glasgow---quirky-heritage-walks-for-the-curious!/
Music,Date TBA,Venue TBA,No description available,days-out,days-out|music,https://www.whatsonglasgow.co.uk/event/131854-day-fever-glasgow/
Day Fever Glasgow,25th October 2025 - 27th December 2025,"Barras Art And Design Centre, Glasgow East End","DAY FEVER COMES TO GLASGOW! Yes, that's right! Day Fever, the Saturday daytime disco, that doesn't ruin your Sunday, is returning to BAaD!",days-out,days-out|music,https://www.whatsonglasgow.co.uk/event/131854-day-fever-glasgow/
Exhibitions,Date TBA,Venue TBA,No description available,exhibitions,exhibitions,https://www.whatsonglasgow.co.uk/event/159671-daytripping/
Daytripping,20th September 2025 - 17th January 2026,"Platform Glasgow, Glasgow East End","Daytripping at Platform is a collection of evocative photographs documenting the joy of day trips, celebrating people and place, taken by photographer Alan Dimmick.",exhibitions,exhibitions,https://www.whatsonglasgow.co.uk/event/159671-daytripping/
Family and Kids,Date TBA,Venue TBA,No description available,arts-and-crafts,arts-and-crafts|family-and-kids,"https://www.whatsonglasgow.co.uk/event/148464-discover---make-and-create,-handle-and-discuss-objects/"
"Discover - Make And Create, Handle And Discuss Objects",25th January 2025 - 20th December 2025,"Kelvingrove Art Gallery and Museum, Glasgow West End","Kelvingrove's Discover - Make And Create, Handle And Discuss Objects weekly sessions offer free hands-on fun designed for families with children!",arts-and-crafts,arts-and-crafts|family-and-kids,"https://www.whatsonglasgow.co.uk/event/148464-discover---make-and-create,-handle-and-discuss-objects/"
Family and Kids,Date TBA,Venue TBA,No description available,family-and-kids,family-and-kids,https://www.whatsonglasgow.co.uk/event/133687-discover!-weekend-sessions/
Discover! Weekend Sessions,4th January 2025 - 28th December 2025,"The Burrell Collection, Glasgow South Side","Join The Burrell Collection each weekend for a free drop in family session where you can get hands on and find out more about the collection through crafts, music and object handling!",family-and-kids,family-and-kids,https://www.whatsonglasgow.co.uk/event/133687-discover!-weekend-sessions/
Exhibitions,Date TBA,Venue TBA,No description available,exhibitions,exhibitions|health-and-wellbeing,https://www.whatsonglasgow.co.uk/event/163108-do-not-disturb!/
Do Not Disturb!,20th October 2025 - 20th November 2025,"Hillhead Library, Glasgow West End","Do Not Disturb! is a series of staged photographs created to tell the stories of those who have been, or still are, affected by poor mental health.",exhibitions,exhibitions|health-and-wellbeing,https://www.whatsonglasgow.co.uk/event/163108-do-not-disturb!/
Gaming,Date TBA,Venue TBA,No description available,gaming,gaming,https://www.whatsonglasgow.co.uk/event/160984-dungeons-&-dragons-one-shots/
Dungeons & Dragons One-Shots,6th September 2025 - 20th December 2025,"The Merchants Guild, Glasgow City Centre","Whether you're a skilled D&D player with years of experience or a total beginner looking to start, The Merchants' Guild have everything that you'll need to play!",gaming,gaming,https://www.whatsonglasgow.co.uk/event/160984-dungeons-&-dragons-one-shots/
Exhibitions,Date TBA,Venue TBA,No description available,exhibitions,exhibitions,https://www.whatsonglasgow.co.uk/event/159705-ethereal:-international-photography-exhibition/
Ethereal: International Photography Exhibition,3rd October 2025 - 31st October 2025,"The Glasgow Gallery of Photography: High Street, Glasgow City Centre","This October, The Glasgow Gallery of Photography will be displaying a month-long international photography exhibition with the theme Ethereal.",exhibitions,exhibitions,https://www.whatsonglasgow.co.uk/event/159705-ethereal:-international-photography-exhibition/
Exhibitions,Date TBA,Venue TBA,No description available,exhibitions,exhibitions|history,https://www.whatsonglasgow.co.uk/event/161499-exhibition:-a-visual-stroll-through-maryhill/
Exhibition: A Visual Stroll Through Maryhill,10th September 2025 - 17th December 2025,"Maryhill Burgh Halls, Glasgow West End","The 'A Visual Stroll Through Maryhill' exhibition brings together a selection of photographs from the Maryhill Burgh Halls collection, capturing local streets, landmarks and landscapes.",exhibitions,exhibitions|history,https://www.whatsonglasgow.co.uk/event/161499-exhibition:-a-visual-stroll-through-maryhill/
