title,date,venue,description,category,categories,url
Simply Christmas - The Crafty Christmas Show,23rd October 2025 - 26th October 2025,"SEC Centre, Glasgow City Centre","Simply Christmas, The Crafty Christmas Show, is the perfect place to shop from 100 festive retailers, offering a diverse range of gifts all under one roof at the SEC Glasgow!",days-out,days-out|shopping,https://www.whatsonglasgow.co.uk/event/005023-simply-christmas---the-crafty-christmas-show/
Theatre,Date TBA,Venue TBA,No description available,comedy,comedy|nights-out|theatre,https://www.whatsonglasgow.co.uk/event/128798-singin’-i’m-no-a-billy-he’s-a-tim/
Singin’ I’m No A Billy He’s A Tim,13th September 2024 - 25th October 2025,"The Pavilion Theatre Glasgow, Glasgow City Centre","Des Dillon's smash hit comedy, Singing I'm No A Billy He's A Tim, returns to The Pavilion Theatre Glasgow as part of it's 20th Anniversary tour!",comedy,comedy|nights-out|theatre,https://www.whatsonglasgow.co.uk/event/128798-singin’-i’m-no-a-billy-he’s-a-tim/
Music,Date TBA,Venue TBA,No description available,music,music|nights-out,https://www.whatsonglasgow.co.uk/event/155728-soul-&-songbook-saturday/
Soul & Songbook Saturday,17th May 2025 - 27th December 2025,"The Noble, Glasgow City Centre","Sit back, enjoy some delicious food, sip on an artisan cocktail and get your requests at the ready when Michelle Elii brings Soul & Songbook Saturday to The Noble!",music,music|nights-out,https://www.whatsonglasgow.co.uk/event/155728-soul-&-songbook-saturday/
Learning,Date TBA,Venue TBA,No description available,learning,learning,https://www.whatsonglasgow.co.uk/event/155438-spanish-conversation-classes/
Spanish Conversation Classes,13th May 2025 - 20th December 2025,"The Language Hub, Glasgow West End",The Language Cafe & Hub's language centre offers Spanish conversation classes for all levels and abilities.,learning,learning,https://www.whatsonglasgow.co.uk/event/155438-spanish-conversation-classes/
Halloween,Date TBA,Venue TBA,No description available,days-out,days-out|family-and-kids|nights-out,https://www.whatsonglasgow.co.uk/event/096506-spooktacular/
Spooktacular,3rd October 2025 - 26th October 2025,Venue TBA,"Glasgow's biggest Halloween experience returns this October, running from 3rd - 26th October, at a brand new location that promises to take the fright factor up a notch!",days-out,days-out|family-and-kids|nights-out,https://www.whatsonglasgow.co.uk/event/096506-spooktacular/
Active,Date TBA,Venue TBA,No description available,active,active|outdoor,https://www.whatsonglasgow.co.uk/event/110498-spooktacular-spooky-paddle/
Spooktacular Spooky Paddle,24th October 2025 - 31st October 2025,"West End Adventure, Glasgow West End",Are you afraid of the dark? Join West End Adventure this Halloween for a spooky moonlit paddle along a 250 year old working canal!,active,active|outdoor,https://www.whatsonglasgow.co.uk/event/110498-spooktacular-spooky-paddle/
Active,Date TBA,Venue TBA,No description available,active,active|health-and-wellbeing|outdoor,https://www.whatsonglasgow.co.uk/event/015479-springburn-parkrun/
Springburn Parkrun,4th January 2025 - 27th December 2025,"Springburn Park, Glasgow North","Springburn Parkrun is a weekly, free 5km timed run held on Saturday mornings at Springburn Park in the North of Glasgow!",active,active|health-and-wellbeing|outdoor,https://www.whatsonglasgow.co.uk/event/015479-springburn-parkrun/
Books,Date TBA,Venue TBA,No description available,history,history|talks-and-lectures,https://www.whatsonglasgow.co.uk/event/162416-stella-dadzie:-a-whole-heap-of-mix-up/
Stella Dadzie: A Whole Heap of Mix Up,25th October 2025,"Tron Theatre, Glasgow City Centre",The Coalition for Racial Equality and Rights (CRER) are delighted to host Stella Dadzie at Glasgow's Tron Theatre to discuss her latest book 'A Whole Heap of Mix Up'.,history,history|talks-and-lectures,https://www.whatsonglasgow.co.uk/event/162416-stella-dadzie:-a-whole-heap-of-mix-up/
Film,Date TBA,Venue TBA,No description available,family-and-kids,family-and-kids|film,https://www.whatsonglasgow.co.uk/event/042393-take-2:-family-friendly-films/
Take 2: Family-Friendly Films,4th January 2025 - 27th December 2025,"Glasgow Film Theatre, Glasgow City Centre","Everything from kid-friendly classics to family foreign language and the latest blockbuster releases, Take 2 screenings at Glasgow Film Theatre will keep even the littlest film fans entertained!",family-and-kids,family-and-kids|film,https://www.whatsonglasgow.co.uk/event/042393-take-2:-family-friendly-films/
Theatre,Date TBA,Venue TBA,No description available,exhibitions,exhibitions|film|music,https://www.whatsonglasgow.co.uk/event/125337-take-me-somewhere/
Take Me Somewhere,15th October 2025 - 26th October 2025,"Tramway, Glasgow South Side","Take Me Somewhere is an international, biennial festival and year-round sector support organisation that exists to position Scotland as the place to create and see radical performance.",exhibitions,exhibitions|film|music,https://www.whatsonglasgow.co.uk/event/125337-take-me-somewhere/
Theatre,Date TBA,Venue TBA,No description available,theatre,theatre,https://www.whatsonglasgow.co.uk/event/159347-take-me-somewhere:-still-lives/
Take Me Somewhere: Still Lives,25th October 2025,"Tramway, Glasgow South Side",Still Lives is a performance-installation series that captures (with ropes) significant moments or movement in relation to specific cultural contexts.,theatre,theatre,https://www.whatsonglasgow.co.uk/event/159347-take-me-somewhere:-still-lives/
Theatre,Date TBA,Venue TBA,No description available,theatre,theatre,https://www.whatsonglasgow.co.uk/event/159348-take-me-somewhere:-you-live-you-learn/
Take Me Somewhere: You Live You Learn,25th October 2025,"Tramway, Glasgow South Side","You Live You Learn is about burnout, our relationship to work and the significance it has in society.",theatre,theatre,https://www.whatsonglasgow.co.uk/event/159348-take-me-somewhere:-you-live-you-learn/
Talks and Lectures,Date TBA,Venue TBA,No description available,history,history|talks-and-lectures,https://www.whatsonglasgow.co.uk/event/159724-talk:-performing-race-and-empire-in-victorian-glasgow/
Talk: Performing Race and Empire in Victorian Glasgow,25th October 2025,"The Mitchell Library and Theatre, Glasgow City Centre",This talk at the Mitchell Library will examine two forms of popular entertainment that engaged with race in ways both controversial and subversive.,history,history|talks-and-lectures,https://www.whatsonglasgow.co.uk/event/159724-talk:-performing-race-and-empire-in-victorian-glasgow/
Music,Date TBA,Venue TBA,No description available,days-out,days-out|music,https://www.whatsonglasgow.co.uk/event/139671-the-30+-club---daytime-clubbing-for-over-30’s/
The 30+ Club - Daytime Clubbing for Over 30’s,25th October 2025 - 27th December 2025,"O2 Academy Glasgow, Glasgow South Side","With its high-energy party atmosphere and top live DJs, The 30+ Club at the O2 Academy Glasgow is not to be missed!",days-out,days-out|music,https://www.whatsonglasgow.co.uk/event/139671-the-30+-club---daytime-clubbing-for-over-30’s/
Shopping,Date TBA,Venue TBA,No description available,family-and-kids,family-and-kids|outdoor|shopping,https://www.whatsonglasgow.co.uk/event/089992-the-barras-market/
The Barras Market,4th January 2025 - 21st December 2025,"The Barras Market, Glasgow East End","With its iconic archways The Barras Market is a Glasgow institution, open to the public every weekend, come along and grab yourself a bargain or two!",family-and-kids,family-and-kids|outdoor|shopping,https://www.whatsonglasgow.co.uk/event/089992-the-barras-market/
Comedy,Date TBA,Venue TBA,No description available,comedy,comedy|family-and-kids,https://www.whatsonglasgow.co.uk/event/139724-the-big-halloween-kids-comedy-show/
The Big Halloween Kids Comedy Show,25th October 2025,"The Stand Comedy Club Glasgow, Glasgow West End","A brand new unpredictable Halloween Comedy show for the whole family filled with nonsense, games, stand up, improv, competitions and JUST a little bit of splatter with the laughter!",comedy,comedy|family-and-kids,https://www.whatsonglasgow.co.uk/event/139724-the-big-halloween-kids-comedy-show/
Food and Drink,Date TBA,Venue TBA,No description available,days-out,days-out|food-and-drink|nights-out,"https://www.whatsonglasgow.co.uk/event/061724-the-craft-spirit-show-glasgow:-the-ultimate-gin,-rum-&-vodka-spring-festival/"
"The Craft Spirit Show Glasgow: The Ultimate Gin, Rum & Vodka Spring Festival",24th October 2025 - 26th October 2025,"SEC Centre, Glasgow West End","The Craft Spirit Show Glasgow, the Ultimate Gin, Rum & Vodka Festival with unlimited tasting samples, is returning to the SEC Glasgow between the 24th and 26th of October!",days-out,days-out|food-and-drink|nights-out,"https://www.whatsonglasgow.co.uk/event/061724-the-craft-spirit-show-glasgow:-the-ultimate-gin,-rum-&-vodka-spring-festival/"
Arts and Crafts,Date TBA,Venue TBA,No description available,arts-and-crafts,arts-and-crafts|days-out|exhibitions,https://www.whatsonglasgow.co.uk/event/159689-the-creative-craft-show/
The Creative Craft Show,23rd October 2025 - 26th October 2025,"SEC Centre, Glasgow West End",The Creative Craft Show is set to make a grand return to the SEC Glasgow from the 23rd to 26th October featuring the popular Stitching Show!,arts-and-crafts,arts-and-crafts|days-out|exhibitions,https://www.whatsonglasgow.co.uk/event/159689-the-creative-craft-show/
Music,Date TBA,Venue TBA,No description available,music,music|nights-out,https://www.whatsonglasgow.co.uk/event/097709-the-dunwells/
The Dunwells,25th October 2025,"The Classic Grand, Glasgow City Centre","Don't miss a live show from the fantastic highly respected Leeds based brothers, The Dunwells when they return to The Classic Grand on Saturday 25th October!",music,music|nights-out,https://www.whatsonglasgow.co.uk/event/097709-the-dunwells/
Shopping,Date TBA,Venue TBA,No description available,arts-and-crafts,arts-and-crafts|health-and-wellbeing|shopping,https://www.whatsonglasgow.co.uk/event/158426-the-enchanted-emporium/
The Enchanted Emporium,2nd August 2025 - 6th December 2025,"The Wellbeing Hub, Glasgow East End","Browse magickal craft stalls featuring crystals, herbal remedies, pagan gifts, jewellery and more when The Enchanted Emporium comes to The Wellbeing Hub!",arts-and-crafts,arts-and-crafts|health-and-wellbeing|shopping,https://www.whatsonglasgow.co.uk/event/158426-the-enchanted-emporium/
Tour,Date TBA,Venue TBA,No description available,food-and-drink,food-and-drink|outdoor|tour,https://www.whatsonglasgow.co.uk/event/090334-the-glasgow-food-and-drink-tour/
The Glasgow Food and Drink Tour,11th January 2025 - 14th December 2025,Venue TBA,Enjoy a walking tour and explore the thriving food scene of Glasgow's leafy west end with The Glasgow Food and Drink Tour!,food-and-drink,food-and-drink|outdoor|tour,https://www.whatsonglasgow.co.uk/event/090334-the-glasgow-food-and-drink-tour/
Tour,Date TBA,Venue TBA,No description available,food-and-drink,food-and-drink|tour,https://www.whatsonglasgow.co.uk/event/154459-the-glasgow-food-and-drink-tour---the-merchant-city-stroll/
The Glasgow Food and Drink Tour - The Merchant City Stroll,24th April 2025 - 17th December 2025,Venue TBA,To celebrate Glasgow's 850th Anniversary The Glasgow Food and Drink Tour have launched The Merchant City Stroll... it's a culinary journey you won't want to miss!,food-and-drink,food-and-drink|tour,https://www.whatsonglasgow.co.uk/event/154459-the-glasgow-food-and-drink-tour---the-merchant-city-stroll/
Tour,Date TBA,Venue TBA,No description available,food-and-drink,food-and-drink|tour,https://www.whatsonglasgow.co.uk/event/160791-the-glasgow-food-and-drink-tour---the-wee-west-end-wander/
The Glasgow Food and Drink Tour - The Wee West End Wander,29th August 2025 - 14th December 2025,Venue TBA,"Covering 2 vibrant neighbourhoods, this 4-stop food tour lets you taste delicious local dishes, hear the stories behind them and chat with the people who make Glasgow what it is!",food-and-drink,food-and-drink|tour,https://www.whatsonglasgow.co.uk/event/160791-the-glasgow-food-and-drink-tour---the-wee-west-end-wander/
Theatre,Date TBA,Venue TBA,No description available,nights-out,nights-out|theatre,https://www.whatsonglasgow.co.uk/event/152158-the-glass-menagerie/
The Glass Menagerie,21st October 2025 - 25th October 2025,"Citizens Theatre, Glasgow South Side","Don't miss a gripping new staging of Tennessee Williams' iconic masterpiece, The Glass Menagerie, at the Citizens Theatre in October!",nights-out,nights-out|theatre,https://www.whatsonglasgow.co.uk/event/152158-the-glass-menagerie/
Shopping,Date TBA,Venue TBA,No description available,family-and-kids,family-and-kids|shopping,https://www.whatsonglasgow.co.uk/event/001753-the-jack-&-jill-market---glasgow-south/
The Jack & Jill Market - Glasgow South,25th October 2025,"Glasgow Club Bellahouston, Glasgow South Side","Shop smartly, be savvy and save money when the Jack and Jill Market Glasgow South returns to Bellahouston Sports Centre on Saturday 25th October!",family-and-kids,family-and-kids|shopping,https://www.whatsonglasgow.co.uk/event/001753-the-jack-&-jill-market---glasgow-south/
Tour,Date TBA,Venue TBA,No description available,history,history|tour,https://www.whatsonglasgow.co.uk/event/161256-the-listener---self-guided-walking-tour/
The Listener - Self Guided Walking Tour,5th September 2025 - 31st October 2025,Venue TBA,The Listener is an immersive self guided walking tour of Glasgow's Merchant City that explores Glasgow's historical ties to the transatlantic slave trade.,history,history|tour,https://www.whatsonglasgow.co.uk/event/161256-the-listener---self-guided-walking-tour/
Exhibitions,Date TBA,Venue TBA,No description available,exhibitions,exhibitions,https://www.whatsonglasgow.co.uk/event/160205-the-milky-way/
The Milky Way,13th September 2025 - 9th January 2026,"Gallery of Modern Art, Glasgow City Centre","The Milky Way is part of a touring programme for Feed – an arts-based project that promotes inclusive, sustainable approaches to infant feeding and public space.",exhibitions,exhibitions,https://www.whatsonglasgow.co.uk/event/160205-the-milky-way/
Nights Out,Date TBA,Venue TBA,No description available,nights-out,nights-out,https://www.whatsonglasgow.co.uk/event/125380-the-overs/
The Overs,25th October 2025 - 13th December 2025,"The Buff Club, Glasgow City Centre","They asked, you answered... forget about The Unders, it's now time for The Overs at The Buff Club so round up the squad, get the boogie shoes looked out and join them under the disco ball!",nights-out,nights-out,https://www.whatsonglasgow.co.uk/event/125380-the-overs/
Shopping,Date TBA,Venue TBA,No description available,arts-and-crafts,arts-and-crafts|family-and-kids|food-and-drink,https://www.whatsonglasgow.co.uk/event/155709-the-rail-yard-farmers-market/
The Rail Yard Farmers Market,17th May 2025 - 22nd November 2025,"The Rail Yard, Glasgow West End",The Rail Yard's weekly Farmers Market provides premium Scottish produce with regular access to unique artisan goods alongside Glasgow-based crafts and gifts!,arts-and-crafts,arts-and-crafts|family-and-kids|food-and-drink,https://www.whatsonglasgow.co.uk/event/155709-the-rail-yard-farmers-market/
Music,Date TBA,Venue TBA,No description available,music,music|nights-out,https://www.whatsonglasgow.co.uk/event/156247-the-royston-club/
The Royston Club,25th October 2025,"The Glasgow Barrowland Ballroom, Glasgow East End",The Royston Club are a four-piece indie band from Wrexham! Catch them live when they return to Glasgow for a headline show at The Barrowlands as part of their Songs For The Spine tour!,music,music|nights-out,https://www.whatsonglasgow.co.uk/event/156247-the-royston-club/
Shopping,Date TBA,Venue TBA,No description available,arts-and-crafts,arts-and-crafts|food-and-drink|shopping,https://www.whatsonglasgow.co.uk/event/162346-the-savoy-centre-markets/
The Savoy Centre Markets,4th October 2025 - 20th December 2025,"Savoy Centre, Glasgow City Centre","Glasgow, get ready to shop, snack, and celebrate like never before... The Savoy Centre Market is about to transform your Saturdays into a whirlwind of local flavour, festive fun, and fabulous finds!",arts-and-crafts,arts-and-crafts|food-and-drink|shopping,https://www.whatsonglasgow.co.uk/event/162346-the-savoy-centre-markets/
Exhibitions,Date TBA,Venue TBA,No description available,exhibitions,exhibitions|health-and-wellbeing,https://www.whatsonglasgow.co.uk/event/163086-time-and-space:-comfort-in-chaos/
Time and Space: Comfort in Chaos,20th October 2025 - 9th November 2025,"Byres Road Community Hub, Glasgow West End",Time and Space presents a multi-media exhibition exploring Comfort & Disturb through the experiences of people who hear voices and/or self-harm.,exhibitions,exhibitions|health-and-wellbeing,https://www.whatsonglasgow.co.uk/event/163086-time-and-space:-comfort-in-chaos/
Active,Date TBA,Venue TBA,No description available,active,active|health-and-wellbeing|outdoor,https://www.whatsonglasgow.co.uk/event/015481-tollcross-parkrun/
Tollcross Parkrun,4th January 2025 - 27th December 2025,"Tollcross Park, Glasgow East End","Tollcross Parkrun is a weekly, free 5km timed run held on Saturday mornings at Tollcross Park in the East End of Glasgow!",active,active|health-and-wellbeing|outdoor,https://www.whatsonglasgow.co.uk/event/015481-tollcross-parkrun/
Nights Out,Date TBA,Venue TBA,No description available,nights-out,nights-out|theatre,https://www.whatsonglasgow.co.uk/event/162251-trick-or-treat---an-unpredictable-halloween-magic-show-for-adults!/
Trick Or Treat - An Unpredictable Halloween Magic Show For Adults!,25th October 2025,"Maxs Bar & Grill, Glasgow City Centre","Join the mischievous minds of Cameron Gibson & Luke Osey as the pair serve up tricks, treats, and a whole lot of unpredictable magic this Halloween!",nights-out,nights-out|theatre,https://www.whatsonglasgow.co.uk/event/162251-trick-or-treat---an-unpredictable-halloween-magic-show-for-adults!/
Exhibitions,Date TBA,Venue TBA,No description available,exhibitions,exhibitions|family-and-kids|history,https://www.whatsonglasgow.co.uk/event/156387-tutankhamun:-the-immersive-exhibition/
Tutankhamun: The Immersive Exhibition,24th July 2025 - 26th October 2025,"SEC Centre, Glasgow West End","Tutankhamun: The Immersive Exhibition, a spectacular hi-tech experience will open its doors at SEC Glasgow on Thursday 24th July, following a sell-out 14-week run in London!",exhibitions,exhibitions|family-and-kids|history,https://www.whatsonglasgow.co.uk/event/156387-tutankhamun:-the-immersive-exhibition/
Active,Date TBA,Venue TBA,No description available,active,active|health-and-wellbeing|outdoor,https://www.whatsonglasgow.co.uk/event/015483-victoria-parkrun/
Victoria Parkrun,4th January 2025 - 27th December 2025,"Victoria Park, Glasgow West End","Victoria Parkrun is a weekly, free 5km timed run held on Saturday mornings at Victoria Park in the West End of Glasgow!",active,active|health-and-wellbeing|outdoor,https://www.whatsonglasgow.co.uk/event/015483-victoria-parkrun/
Sport,Date TBA,Venue TBA,No description available,family-and-kids,family-and-kids|outdoor|sport,https://www.whatsonglasgow.co.uk/event/163722-west-of-scotland-football-league---pollok-vs-shotts-bon-accord/
West of Scotland Football League - Pollok vs Shotts Bon Accord,25th October 2025,"Pollok Football Club, Glasgow South Side","With reduced football options in Glasgow this Saturday, make the trip to the southside to see in-form Pollok take on Shotts Bon Accord in the West of Scotland Football League!",family-and-kids,family-and-kids|outdoor|sport,https://www.whatsonglasgow.co.uk/event/163722-west-of-scotland-football-league---pollok-vs-shotts-bon-accord/
Theatre,Date TBA,Venue TBA,No description available,theatre,theatre,https://www.whatsonglasgow.co.uk/event/134467-wheels-of-life/
Wheels Of Life,6th January 2025 - 21st December 2025,"Sharmanka Kinetic Theatre, Glasgow City Centre",Wheels of Life at Sharmanka Kinetic Theatre is a special show which features some of the earliest and most exquisite work created by Eduard Bersudsky in Russia.,theatre,theatre,https://www.whatsonglasgow.co.uk/event/134467-wheels-of-life/
Nature,Date TBA,Venue TBA,No description available,nature,nature|outdoor,https://www.whatsonglasgow.co.uk/event/160762-wild-at-mugdock-(adults)---fungal-foray/
Wild At Mugdock (Adults) - Fungal Foray,25th October 2025,"Mugdock Country Park, Milngavie",Discover Mugdock's wealth of fungi on this Ranger led identification workshop for adults on Saturday 25th October!,nature,nature|outdoor,https://www.whatsonglasgow.co.uk/event/160762-wild-at-mugdock-(adults)---fungal-foray/
Workshops,Date TBA,Venue TBA,No description available,arts-and-crafts,arts-and-crafts|workshops,https://www.whatsonglasgow.co.uk/event/161646-woodworking-workshops-at-glasgow-wood/
Woodworking Workshops at Glasgow Wood,25th October 2025 - 29th November 2025,"Glasgow Wood, Glasgow West End","Wood-working, bench-building, wildlife-building workshops, all using reclaimed timber. Learn how to build a range of Glasgow Wood's favourite products or something completely different altogether!",arts-and-crafts,arts-and-crafts|workshops,https://www.whatsonglasgow.co.uk/event/161646-woodworking-workshops-at-glasgow-wood/
Film,Date TBA,Venue TBA,No description available,family-and-kids,family-and-kids|film|history,https://www.whatsonglasgow.co.uk/event/162355-x-craft-‘dive-deep’/
X-CRAFT ‘Dive Deep’,25th September 2025 - 1st September 2026,"The Submarine Centre, Helensburgh",X-CRAFT Dive Deep is an ALL NEW 360 Immersive Show that utilises MASSIVE 360 degree screens to tell the story of the submarine pioneers that paved the way for the submarines of today!,family-and-kids,family-and-kids|film|history,https://www.whatsonglasgow.co.uk/event/162355-x-craft-‘dive-deep’/
Arran Festival of Food and Drink,24th October 2025 - 2nd November 2025,Venue TBA,The Isle of Arran is looking forward to holding its fourth festival of food and drink that celebrates the local produce that comes from the island's unique terroir and micro-climate!,days-out,days-out|family-and-kids|food-and-drink,https://www.whatsonglasgow.co.uk/event/140513-arran-festival-of-food-and-drink/
FREE RAER Spirits In-Store Tasting,25th October 2025,"Geraldos Largs, Largs",Geraldo's are delighted to welcome RAER Spirits for an in-store tasting of their award-winning spirits on Saturday 25th October!,food-and-drink,food-and-drink,https://www.whatsonglasgow.co.uk/event/129469-free-raer-spirits-in-store-tasting/
Kelburn Haunted Forest: Nightmare,15th October 2025 - 2nd November 2025,"Kelburn Estate & Country Centre, Largs","Celebrate 15 years of Halloween at Kelburn with scares that are bigger, bolder, and more terrifying than ever. Will you survive to relive the NIGHTMARE?",nights-out,nights-out|outdoor,https://www.whatsonglasgow.co.uk/event/160584-kelburn-haunted-forest:-nightmare/
Largs Market,1st March 2025 - 20th December 2025,"Largs Market, Largs","You'll find fresh produce and sweet treats, handmade crafts, jewellery, artwork, gifts, pet supplies and more at Largs Market every Saturday in Gallowgate Square!",arts-and-crafts,arts-and-crafts|food-and-drink|outdoor,https://www.whatsonglasgow.co.uk/event/090421-largs-market/
Scottish Mental Health Arts Festival,20th October 2025 - 9th November 2025,Venue TBA,"The Scottish Mental Health Arts Festival (SMHAF) is back from 20th October to 9th November 2025, exploring the theme of Comfort & Disturb.",active,active|arts-and-crafts|community,https://www.whatsonglasgow.co.uk/event/126330-scottish-mental-health-arts-festival/
The Wandering Witches of Culzean,19th September 2025 - 2nd November 2025,"Culzean Castle and Country Park, Maybole",Can you help the little witches at Culzean Castle and Country Park find the missing ingredient before the witching hour begins?,days-out,days-out|family-and-kids|outdoor,https://www.whatsonglasgow.co.uk/event/160081-the-wandering-witches-of-culzean/
Glasgow’s Winter Wonderland,Date TBA,Venue TBA,No description available,days-out,days-out|family-and-kids|food-and-drink,https://www.whatsonglasgow.co.uk/event/127891-glasgow’s-winter-wonderland/
